species	sample
7050050000-10OT23	10OT23
7050050640-11CT25	11CT25
7050045480-ACSFa03	ACSFa03
7050736850-AR0210	AR0210
7050050930-BZ3205	BZ3205
7050048620-CVa08	CVa08
7050822250-CYa10	CYa10
7050000010-GOa02	GOa02
7050043870-HCARa05	HCARa05
7050005420-HtiPo2	HtiPo2
7050531210-IA0418	IA0418
7050511950-IL0121	IL0121
7050047970-MC02.001	MC02.001
7050453940-MI0112	MI0112
7050494360-MI0230	MI0230
7050050650-MIXTa05	MIXTa05
7050682360-MO0210	MO0210
7050741770-MS0114	MS0114
7050736840-NPKBa05	NPKBa05
7050683900-OK0101	OK0101
7050047850-PC01.024	PC01.024
7050046600-PCCC1	PCCC1
7050041410-RCJRa02	RCJRa02
7050002710-RLPEa09	RLPEa09
7050043860-SCSCa03	SCSCa03
7050047980-SJ01.21	SJ01.21
7050054670-SMAA06	SMAA06
7050004220-STDMa04	STDMa04
7050668250-TN0103	TN0103
7050609780-TN0423	TN0423
7050849600-TXRSb03	TXRSb03
7050046750-WCKCa01	WCKCa01
