species	sample
7050050000-10OT23	10OT23
7050050640-11CT18	11CT18
7050045480-ACSFc03	ACSFc03
7050736850-AR0208	AR0208
7050050930-BZ2601	BZ2601
7050048620-CVa02	CVa02
7050822250-CYa04	CYa04
7050043870-HCICa02	HCICa02
7050005420-HtiCn13	HtiCn13
7050004220-HXRCb05	HXRCb05
7050531210-IA0417	IA0417
7050511950-IL0135	IL0135
7050046750-LCPCa03	LCPCa03
7050047970-MC02.002	MC02.002
7050453940-MI0113	MI0113
7050494360-MI0239	MI0239
7050050650-MIXTa04	MIXTa04
7050682360-MO0210	MO0210
7050741770-MS0114	MS0114
7050736840-NPKBa05	NPKBa05
7050683900-OK0101	OK0101
7050047850-PCa01	PCa01
7050046600-PCCC1	PCCC1
7050000010-PSa03	PSa03
7050041410-RCJRb02	RCJRb02
7050043860-SCSCa02	SCSCa02
7050047980-SJ01.21	SJ01.21
7050054670-SMAA06	SMAA06
7050668250-TN0105	TN0105
7050609780-TN0423	TN0423
7050002710-TULIa09	TULIa09
7050849600-TXRSb03	TXRSb03
