species	sample
7050043870-HCARa04	HCARa04
7050002710-ZANAa05	ZANAa05
7050004220-HXRCb03	HXRCb03
7050050650-CUAJa03	CUAJa03
7050047850-NR02.10	NR02.10
7050054670-BALB05	BALB05
7050609780-TN0421	TN0421
7050668250-TN0102	TN0102
7050682360-MO0312	MO0312
7050453940-MI0125	MI0125
7050511950-Il0411	Il0411
7050047970-TT01.001	TT01.001
7050054660-LSSE05	LSSE05
7050050640-11CT05	11CT05
7050050000-10OT10	10OT10
7050050930-BZ5204	BZ5204
7050000010-NB0103	NB0103
7050005420-05AR27	05AR27
7050823030-TM01c2	TM01c2
7050531210-IA0415	IA0415
7050046750-LCBC04	LCBC04
7050045900-EAFB014150	EAFB014150
7050048620-CVa06	CVa06
7050045480-ACSFc04	ACSFc04
7050043860-SCSCa04	SCSCa04
7050736840-NPKBa04	NPKBa04
7050041410-RCJRa01	RCJRa01
7050047980-SJ01.21	SJ01.21
7050683900-OK0101	OK0101
7050494360-MI0238	MI0238
7050822250-CYa04	CYa04
7050849600-TXRSa04	TXRSa04
7050741770-MS0114	MS0114
