species	sample
7040050000	10OT23
7040050640	11CT25
7040054670	BAMB06
7040050930	BZ3004
7040048420	CVa04
7040049990	CYa04
7040043170	HCICa02
7040005420	HtiCn2
7040569650	IL0121
7040046750	LCPCa02
7040047970	MC02.003
7040392650	MI0113
7040402430	MI0238
7040050650	MIXTa02
7040686540	MO0351
7040741770	MS0116
7040741760	NPKBa05
7040047850	PCa01
7040046600	PCCC1
7040000010	PUMAa04
7040041410	RCJRb04
7040047980	SJ01.21
7040612640	TN0411
7040050920	TXRSa02
