species	sample
7050050000-10OT23	10OT23
7050050640-11CT10	11CT10
7050045480-ACSFc01	ACSFc01
7050736850-AR0210	AR0210
7050005420-ARa05	ARa05
7050054670-BALB02	BALB02
7050050930-BZ2106	BZ2106
7050048620-CVa08	CVa08
7050822250-CYa04	CYa04
7050000010-GOa02	GOa02
7050043870-HCICa03	HCICa03
7050004220-HXRCb08	HXRCb08
7050531210-IA0417	IA0417
7050511950-Il0408	Il0408
7050046750-LCSBc01	LCSBc01
7050047970-MC02.001	MC02.001
7050453940-MI0162	MI0162
7050494360-MI0230	MI0230
7050050650-MIXTa02	MIXTa02
7050682360-MO0210	MO0210
7050741770-MS0116	MS0116
7050736840-NPKBa06	NPKBa06
7050047850-NR01.01	NR01.01
7050683900-OK0101	OK0101
7050046600-PCCC1	PCCC1
7050041410-RCJRa05	RCJRa05
7050002710-RLPEa06	RLPEa06
7050043860-SCSCa01	SCSCa01
7050047980-SJ01.21	SJ01.21
7050668250-TN0103	TN0103
7050609780-TN0427	TN0427
7050849600-TXRSb05	TXRSb05
