cluster,peak.start_2week,peak.end_2week,peak.start_1week,peak.end_1week,peak.start_old3,peak.end_old3,peak.start_old2,peak.end_old2,peak.start_old,peak.end_old
A,191,219,198,212,198,226,190,218,132,160
B,216,244,223,237,205,233,204,232,186,214
C,183,211,190,204,186,214,189,217,171,199
D,211,239,218,232,199,227,214,242,186,214
E,177,205,184,198,174,202,175,203,174,202
F,191,219,198,212,156,184,190,218,170,198
G,178,206,185,199,183,211,181,209,186,214
H,182,210,189,203,174,202,177,205,186,214
