"","species","hw.raw","hw.logit","time"
"1","A","0.345522701010355","-0.683311097683129","peak"
"2","A","0.27010816511198","-1.04540644227943","peak"
"3","A","0.44783220643588","-0.249964623743166","peak"
"4","A","0.412300293383772","-0.395889656753899","peak"
"5","A","0.405","-0.42634269312972","trough"
"6","A","0.396","-0.464157558682312","trough"
"7","A","0.339","-0.71271138620631","trough"
"8","A","0.278","-1.00479353345045","trough"
"9","A","0.383","-0.519368120989105","trough"
"10","A","0.235","-1.23676262714893","trough"
"11","A","0.289","-0.949427355463584","trough"
"12","A","0.218","-1.33702331211311","trough"
"13","A","0.214","-1.36147919200017","trough"
"14","A","0.254","-1.13087315088633","trough"
"15","A","0.241","-1.20267325898385","trough"
"16","A","0.265","-1.07212067322113","trough"
"17","A","0.233","-1.24826857890753","trough"
"18","A","0.23","-1.26566637333128","trough"
"19","A","0.214","-1.36147919200017","trough"
"20","A","0.223","-1.30693608270798","trough"
"21","A","0.257","-1.11467689117192","trough"
"22","A","0.234","-1.24250646832818","trough"
"23","A","0.201","-1.44352548901186","trough"
"24","A","0.261","-1.09328604438544","trough"
"25","A","0.244","-1.18586105438289","trough"
"26","A","0.249","-1.15816980593018","trough"
"27","A","0.211","-1.3800560377072","trough"
"28","A","0.261","-1.09328604438544","trough"
"29","A","0.218","-1.33702331211311","trough"
"30","A","0.244","-1.18586105438289","trough"
"31","A","0.237","-1.22532903110602","trough"
"32","A","0.232","-1.25404914230611","trough"
"33","A","0.213","-1.36764869974843","trough"
"34","A","0.229","-1.27150342002319","trough"
"35","A","0.189","-1.52313730361167","trough"
"36","A","0.235447396","-1.2341987229313","trough"
"37","A","0.249803376","-1.15375779471571","trough"
"38","A","0.267782576572067","-1.05752572056897","trough"
"39","A","0.261305853723896","-1.09165981264254","trough"
"40","A","0.255185568057065","-1.12445658904522","trough"
"41","A","0.200100712298872","-1.44935590730795","trough"
"42","A","0.151408214222099","-1.80364274488023","trough"
"43","A","0.212224858154142","-1.37244654312981","trough"
"44","A","0.222285965277069","-1.31120086534616","trough"
"45","A","0.277985633826685","-1.00486676573881","trough"
"46","A","0.166262530772003","-1.68630390844939","trough"
"47","A","0.18359257829634","-1.56037684896628","trough"
"48","A","0.217020603350791","-1.34297891836259","trough"
"49","A","0.194002556498394","-1.48946157047001","trough"
