species,hw.raw,hw.logit,time
B,0.179886985,-1.586428434,trough
B,0.180186566,-1.584305613,trough
B,0.182696526,-1.566635713,trough
B,0.202100152,-1.436421238,trough
B,0.236092137,-1.230510225,trough
B,0.190367979,-1.513856392,trough
B,0.184749075,-1.552336407,trough
B,0.148456232,-1.828171594,trough
B,0.241665813,-1.198928906,trough
C,0.913393864,2.235516373,peak
C,0.800093985,1.325492022,peak
C,0.814191313,1.412699095,peak
C,0.470741379,-0.157358388,peak
C,0.274128483,-1.024619874,peak
C,0.166239465,-1.686478865,peak
C,0.195911731,-1.4767968,peak
C,0.22550668,-1.292046152,peak
C,0.23305983,-1.247923316,peak
C,0.915580168,2.260824672,peak
C,0.954692983,2.837960204,peak
C,0.871975357,1.831794439,peak
C,0.802802024,1.341898793,peak
C,0.689935652,0.753476101,peak
C,0.499850259,-0.040604542,peak
C,0.9336336,2.492772643,peak
C,0.829387208,1.512201282,peak
C,0.945639255,2.676726087,peak
C,0.647905519,0.566285008,peak
C,0.642009771,0.540848469,peak
C,0.683442313,0.723795724,peak
C,0.780518721,1.211242499,peak
C,0.690999731,0.758369966,peak
C,0.746048286,1.025529536,peak
C,0.765289711,1.127026383,peak
C,0.859909614,1.733892318,peak
C,0.660130214,0.619611626,peak
C,0.852064626,1.67367084,peak
C,0.844611474,1.618668908,peak
C,0.799027135,1.319071186,peak
C,0.804634405,1.35309036,peak
C,0.75632636,1.079114423,peak
C,0.692043969,0.763181022,peak
C,0.889203626,1.984910261,peak
C,0.784164801,1.231979248,peak
C,0.668970065,0.658707848,peak
C,0.82219507,1.464336727,peak
C,0.825193395,1.48411548,peak
C,0.603059628,0.37662828,peak
C,0.811454039,1.395407011,peak
C,0.7646934,1.12380272,peak
C,0.948154545,2.719276079,peak
C,0.755557143,1.075055504,peak
C,0.950586527,2.761982623,peak
C,0.826067743,1.489929849,peak
C,0.776099238,1.186414781,peak
C,0.652351865,0.58558659,peak
C,0.26364482,-1.079266658,peak
C,0.367572218,-0.585917057,peak
C,0.508005303,-0.007978829,peak
C,0.298445065,-0.902947972,peak
C,0.745391471,1.022151486,peak
C,0.247599176,-1.165887312,peak
C,0.778542524,1.200099726,peak
C,0.421843781,-0.356348486,peak
C,0.669155971,0.659535205,peak
C,0.823490788,1.472853971,peak
C,0.801871049,1.336240717,peak
C,0.794879556,1.294332198,peak
C,0.75529084,1.073652186,peak
C,0.725711328,0.92328674,peak
C,0.873451777,1.844260216,peak
C,0.635116321,0.511321958,peak
C,0.792547017,1.280571349,peak
C,0.749101294,1.041302748,peak
C,0.874715268,1.8550186,peak
C,0.819873158,1.449186201,peak
C,0.170231026,-1.656510139,peak
C,0.316969145,-0.814327283,peak
C,0.437086812,-0.293746903,peak
C,0.677732544,0.697947476,peak
C,0.682779718,0.720784372,peak
C,0.697662038,0.789211679,peak
C,0.736917577,0.979039432,peak
C,0.777626147,1.194955314,peak
C,0.870816913,1.822091597,peak
