species,hw.trans.peak,time
C,1.079114423,peak
C,0.763181022,peak
C,1.984910261,peak
C,1.231979248,peak
C,0.658707848,peak
C,1.464336727,peak
C,1.48411548,peak
C,0.37662828,peak
C,1.395407011,peak
C,1.12380272,peak
C,2.719276079,peak
C,1.075055504,peak
C,2.761982623,peak
C,1.489929849,peak
C,1.186414781,peak
C,0.58558659,peak
C,-1.079266658,peak
C,-0.585917057,peak
C,-0.007978829,peak
C,-0.902947972,peak
C,1.022151486,peak
C,-1.165887312,peak
C,1.200099726,peak
C,-0.356348486,peak
C,0.659535205,peak
C,1.472853971,peak
C,-1.656510139,peak
C,-0.814327283,peak
C,-0.293746903,peak
C,0.697947476,peak
C,0.720784372,peak
C,0.789211679,peak
C,0.979039432,peak
C,1.194955314,peak
C,1.822091597,peak
C,1.612461499,peak
C,-1.261111249,peak
C,0.917005567,peak
C,1.126294989,peak
C,-0.866418902,trough
C,-1.643421765,trough
C,-1.29504569,trough
C,-1.098612289,trough
C,-0.703665685,trough
C,-0.852064314,trough
C,-0.434719179,trough
C,-0.99970208,trough
C,-1.08797389,trough
C,0.012000144,trough
C,-0.717244732,trough
C,0.24928294,trough
C,-0.376381214,trough
C,-1.392556122,trough
C,-1.147204844,trough
C,-0.443110708,trough
C,-0.064021859,trough
C,-0.885690291,trough
C,-1.231036874,trough
C,0.176456437,trough
C,-1.306936083,trough
C,0.020000667,trough
C,-0.964390527,trough
C,-1.337023312,trough
C,-1.125459539,trough
C,-0.989554911,trough
C,-0.768678864,trough
C,-1.133838445,trough
C,-1.627356852,trough
C,0.17465878,trough
C,-1.561957883,trough
C,0.179140706,trough
C,-1.329036638,trough
C,-1.555622823,trough
C,-1.430578576,trough
C,-1.424163929,trough
C,-1.024619874,trough
C,-1.686478865,trough
C,-1.4767968,trough
C,-1.292046152,trough
C,-1.247923316,trough
C,0.509022025,trough
C,-1.639485804,trough
C,-0.636363524,trough
C,-0.992959377,trough
C,-0.21527135,trough
C,-1.245279192,trough
C,-1.208632634,trough
C,-0.671452107,trough
C,-1.249065966,trough
C,-0.857756979,trough
C,-1.079266658,trough
C,-0.585917057,trough
C,-0.007978829,trough
C,-0.902947972,trough
C,1.022151486,trough
C,-1.165887312,trough
C,1.200099726,trough
C,-0.356348486,trough
C,-1.491540749,trough
C,-1.656510139,trough
C,-1.29887277,trough
C,-1.033899553,trough
C,-1.27911785,trough
C,-1.261111249,trough
C,-1.358993012,trough
C,1.126294989,trough
D,0.934562498,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,1.599868461,peak
D,1.225329031,peak
D,4.59511985,peak
D,4.59511985,peak
D,2.175197255,peak
D,4.59511985,peak
D,2.175197255,peak
D,2.586689344,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,1.782457077,peak
D,4.59511985,peak
D,1.114676891,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.254599025,peak
D,4.59511985,peak
D,3.94413348,peak
D,4.329720682,peak
D,2.666159259,peak
D,4.59511985,peak
D,4.59511985,peak
D,1.758326961,peak
D,4.59511985,peak
D,1.114676891,peak
D,4.59511985,peak
D,4.59511985,peak
D,2.186162518,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,1.665687458,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,1.08797389,peak
D,3.99921955,peak
D,1.992430165,peak
D,4.59511985,peak
D,4.18459144,peak
D,4.254599025,peak
D,2.456012184,peak
D,4.59511985,peak
D,0.434719179,peak
D,4.59511985,peak
D,2.699548556,peak
D,1.469622493,peak
D,4.59511985,peak
D,2.153549514,peak
D,1.312911815,peak
D,4.59511985,peak
D,1.463058377,peak
D,4.59511985,peak
D,4.59511985,peak
D,1.516347489,peak
D,2.090741097,peak
D,1.758326961,peak
D,4.59511985,peak
D,1.443525489,peak
D,4.59511985,peak
D,4.59511985,peak
D,4.59511985,peak
D,3.152319008,peak
D,2.733941615,peak
D,4.59511985,peak
D,4.59511985,peak
D,1.815289967,peak
D,4.59511985,peak
D,3.99921955,peak
D,2.84912688,peak
D,1.505458082,peak
D,-1.471638838,peak
D,2.996375846,peak
D,4.59511985,peak
D,-1.467671935,peak
D,-0.902662413,peak
D,-0.570705244,peak
D,1.068113984,peak
D,-1.498391135,peak
D,1.586904404,peak
D,3.191813751,peak
D,2.624630563,peak
D,-1.423817352,peak
D,1.579853732,peak
D,-0.908629645,peak
D,1.33726031,peak
D,1.301949439,peak
D,3.107333846,peak
D,-1.191341804,peak
D,-1.6270928,peak
D,-0.89773343,peak
D,-1.678035647,peak
D,-1.04624758,peak
D,-1.61744411,peak
D,-1.675667511,peak
D,-1.644299197,peak
D,-1.384465872,peak
D,1.567462884,peak
D,-0.641884589,peak
D,-0.668657935,peak
D,3.230036451,peak
D,-1.289599542,peak
D,0.640603446,peak
D,-1.062629169,peak
D,-1.338627495,peak
D,-1.790593288,trough
D,-2.001934133,trough
D,-1.60703983,trough
D,-1.571518678,trough
D,-1.874689849,trough
D,-1.936798469,trough
D,-1.992430165,trough
D,-2.090741097,trough
D,-1.41148461,trough
D,-1.758326961,trough
D,-1.900958761,trough
D,-1.726779349,trough
D,-1.614245614,trough
D,-1.496152942,trough
D,-1.964322637,trough
D,-1.892145802,trough
D,-1.945910149,trough
D,-1.936798469,trough
D,-1.63607387,trough
D,-1.892145802,trough
D,-2.231011575,trough
D,-1.734601055,trough
D,-1.496152942,trough
D,-1.964322637,trough
D,-1.711262773,trough
D,-1.463058377,trough
D,-1.69591151,trough
D,-1.840433765,trough
D,-1.774367727,trough
D,-1.883389792,trough
D,-1.758326961,trough
D,-1.734601055,trough
D,-1.823620571,trough
D,-1.614245614,trough
D,-1.711262773,trough
D,-1.621486251,trough
D,-1.380056038,trough
D,-1.398841577,trough
D,-1.680721153,trough
D,-1.516347489,trough
D,-0.895384047,trough
D,-1.599868461,trough
D,-1.599868461,trough
D,-1.711262773,trough
D,-1.628762185,trough
D,-1.790593288,trough
D,-1.489478597,trough
D,-1.832001586,trough
D,-1.823620571,trough
D,-1.964322637,trough
D,-1.823620571,trough
D,-1.27150342,trough
D,-1.482832288,trough
D,-1.742465823,trough
D,-1.823620571,trough
D,-1.734601055,trough
D,-1.815289967,trough
D,-1.543686535,trough
D,-0.818886859,trough
D,-0.776846199,trough
D,-1.719000115,trough
D,-1.450010176,trough
D,-1.703566757,trough
D,-1.703566757,trough
D,-1.557539474,trough
D,-1.386294361,trough
D,-1.386294361,trough
D,-2.197224577,trough
D,-1.450010176,trough
D,-1.936798469,trough
D,-1.60703983,trough
D,-1.673184981,trough
D,-1.658228077,trough
D,-1.60703983,trough
D,-1.866045109,trough
D,-1.585627264,trough
D,-2.111334905,trough
D,-1.658228077,trough
D,-1.665687458,trough
D,-1.536806468,trough
D,-1.955084525,trough
D,-2.030866872,trough
D,-1.711262773,trough
D,-2.100996545,trough
D,-2.030866872,trough
D,-1.628762185,trough
D,-1.471638838,trough
D,2.996375846,trough
D,-1.683447811,trough
D,-1.61840472,trough
D,-1.601052763,trough
D,-0.902662413,trough
D,-0.570705244,trough
D,1.068113984,trough
D,-1.498391135,trough
D,-1.671197935,trough
D,-1.677024449,trough
D,1.586904404,trough
D,-1.381888432,trough
D,-1.423817352,trough
D,-1.672578046,trough
D,-1.643201072,trough
D,-1.608128451,trough
D,-1.626699188,trough
D,-1.60011966,trough
D,-1.686064055,trough
D,-1.670244149,trough
D,-1.669500129,trough
D,-1.686229698,trough
D,-1.661591244,trough
D,-1.484838474,trough
D,-1.685933881,trough
D,-1.609514852,trough
D,-1.135499497,trough
D,-1.453548122,trough
D,-1.50737782,trough
D,-1.683930681,trough
D,-1.477475263,trough
D,-1.683561465,trough
D,-1.645959129,trough
D,-1.682222921,trough
D,-1.642899025,trough
D,-1.41888541,trough
D,-1.191341804,trough
D,-1.6270928,trough
D,-0.89773343,trough
D,-1.678035647,trough
D,-1.04624758,trough
D,-1.61744411,trough
D,-1.675667511,trough
D,-1.78847213,trough
D,-1.763731448,trough
D,-1.874229987,trough
D,-1.619445483,trough
D,-1.708859865,trough
D,-1.951994574,trough
D,-1.600100694,trough
D,-1.758135796,trough
D,-1.70959199,trough
D,-1.887239591,trough
D,-1.909211508,trough
D,-1.788294142,trough
D,-1.69251639,trough
D,-1.805828627,trough
D,-1.583730514,trough
D,-1.402151007,trough
D,-1.727193929,trough
D,-1.938829169,trough
D,-1.73590098,trough
D,-1.748240317,trough
D,-2.053629678,trough
D,-1.966529309,trough
D,-1.772780865,trough
D,-1.661146798,trough
D,-1.83169417,trough
D,-1.890199713,trough
D,-1.750231171,trough
D,-2.133047619,trough
D,-1.708706654,trough
D,-1.815448904,trough
D,-1.902241961,trough
D,-1.791943214,trough
D,-1.602043101,trough
D,-1.74775663,trough
D,-1.782128438,trough
D,-1.74799639,trough
D,-1.717335977,trough
D,-1.407224878,trough
D,-1.774584868,trough
D,-1.884756734,trough
D,-1.417736686,trough
D,-1.798591584,trough
D,-1.629576155,trough
D,-1.675106408,trough
D,-1.361203904,trough
D,-1.417905303,trough
D,-1.085551824,trough
D,-1.8270366,trough
D,-1.607710638,trough
D,-1.589657171,trough
D,-1.974441626,trough
D,-1.702508358,trough
D,-1.803353538,trough
D,-1.324972251,trough
D,-1.828932751,trough
D,-1.72611446,trough
D,-1.721482382,trough
D,-1.767715965,trough
D,-1.733625757,trough
D,-1.605775394,trough
D,-1.426322648,trough
D,-1.616470107,trough
D,-1.894052193,trough
D,-1.701278066,trough
D,-1.796511783,trough
D,-1.52108263,trough
D,-1.60892091,trough
D,-1.661676568,trough
D,-1.731324258,trough
D,-1.824585989,trough
D,-1.740760285,trough
D,-1.776827991,trough
D,-1.744448811,trough
D,-1.790203644,trough
D,-1.518427417,trough
D,-1.941031256,trough
D,-1.682913339,trough
D,-1.752049537,trough
D,-1.589560937,trough
D,-1.479330583,trough
D,-1.396636089,trough
D,-1.643726431,trough
D,-1.587653516,trough
D,-1.462611304,trough
D,-1.685571755,trough
D,-1.675724189,trough
D,-1.658264635,trough
D,-1.644299197,trough
D,-1.384465872,trough
D,-0.641884589,trough
D,-0.668657935,trough
D,-1.289599542,trough
D,-1.062629169,trough
D,-1.338627495,trough
E,4.59511985,peak
E,4.59511985,peak
E,4.59511985,peak
E,4.59511985,peak
E,4.59511985,peak
E,4.59511985,peak
E,2.998287084,peak
E,4.59511985,peak
E,1.666989646,peak
E,0.496040076,peak
E,3.94413348,peak
E,2.599869167,peak
E,-0.129268988,peak
E,4.59511985,peak
E,4.59511985,peak
E,4.59511985,peak
E,2.791917553,peak
E,4.59511985,peak
